clip_id,label
0_0,0
0_1,0
0_2,0
0_3,0
0_4,0
0_5,0
0_6,0
0_7,0
0_8,0
0_9,0
0_10,0
0_11,0
0_13,0
0_14,0
0_15,0
0_16,0
0_17,0
0_18,0
0_19,0
0_20,0
0_21,0
0_22,0
0_23,0
0_24,0
0_25,0
0_26,0
0_27,0
0_30,0
0_31,0
0_32,0
0_33,0
0_34,0
0_36,0
0_37,0
0_38,0
0_39,0
0_40,0
0_41,0
0_42,0
0_43,0
0_44,0
0_45,0
0_46,0
0_47,0
0_48,0
0_49,0
0_50,0
0_51,0
0_52,0
0_53,0
0_54,0
0_55,0
0_56,0
0_57,0
0_58,0
0_59,0
0_60,0
0_61,0
0_62,1
0_63,1
0_64,1
0_66,1
0_67,1
0_68,1
0_69,1
0_70,1
0_71,1
0_72,1
0_73,1
0_75,1
0_76,1
0_77,1
0_78,1
0_79,1
0_80,1
0_81,1
0_82,1
0_83,1
0_84,1
0_86,1
0_87,1
0_88,1
0_89,1
0_90,1
0_91,1
0_92,1
0_93,1
0_94,1
0_95,1
0_97,1
0_98,1
0_99,1
0_100,1
0_101,1
0_102,1
0_103,1
0_104,1
0_105,1
0_106,1
0_108,1
0_109,1
0_110,1
0_111,1
0_112,1
0_113,1
0_114,1
0_115,1
0_116,1
0_117,1
0_119,1
0_121,1
0_122,1
0_123,1
0_124,1
0_125,1
0_126,1
0_128,1
0_129,1
0_130,1
0_131,1
0_132,1
0_133,1
0_134,1
0_135,1
0_136,1
0_137,1
0_138,1
0_139,1
0_140,1
0_141,1
1_0,1
1_1,1
1_2,1
1_3,1
1_4,1
1_5,1
1_6,1
1_7,1
1_8,1
1_9,1
1_10,1
1_11,1
1_12,1
1_14,1
1_15,1
1_16,1
1_18,1
1_19,1
1_20,1
1_21,1
1_22,1
1_23,1
1_24,1
1_25,1
1_26,1
1_27,1
1_28,1
1_29,1
1_30,1
1_32,1
1_33,1
1_34,1
1_35,1
1_36,1
1_37,1
1_38,1
1_40,1
1_42,1
1_43,1
1_44,1
1_45,1
1_46,1
1_47,1
1_48,1
1_49,1
1_51,1
1_53,1
1_54,1
1_55,1
1_56,1
1_57,1
1_58,1
1_59,1
1_60,1
1_61,1
1_63,1
1_64,1
1_65,1
1_66,1
1_67,1
1_68,1
1_69,1
1_70,1
1_72,1
1_74,2
1_75,2
1_76,2
1_77,2
1_79,2
1_80,2
1_81,2
1_82,2
1_83,2
1_84,2
1_85,2
1_86,2
1_88,2
1_89,2
1_90,2
1_91,2
1_92,2
1_93,2
1_95,2
1_96,2
1_97,2
1_98,2
1_99,2
1_100,2
1_101,2
1_102,2
1_103,2
1_105,2
1_106,2
1_107,2
1_108,2
1_109,2
1_110,2
1_111,2
1_112,2
1_113,2
1_114,2
1_115,2
1_116,2
1_117,2
1_118,2
1_119,2
1_120,2
1_121,2
1_123,2
1_124,2
1_125,2
1_126,2
1_127,2
1_128,2
1_129,2
1_130,2
1_131,2
1_132,2
1_133,2
1_135,2
1_136,2
1_137,2
1_138,2
1_139,2
1_140,2
1_141,2
